Location,City,Bedrooms,Bathrooms,Parking,Price
Lavington, Nairobi,5,6,3,KSh 300 000
 Loresho, Nairobi,4,4,,KSh 290 000
,,2,2,2,KSh 120 000
,,2,2,2,KSh 120 000
 Westlands, Nairobi,4,4,,KSh 200 000
Kilimani, Nairobi,3,2,,KSh 75 000
 Westlands, Nairobi,4,5,2,KSh 250 000
 Lavington, Nairobi,5,5,2,KSh 200 000
 Kilimani, Nairobi,3,5,"Floor Size:

                            4,500
                        
                        m²",KSh 200 000
 Riverside, Nairobi,5,5,2,KSh 215 000
 Kilimani, Nairobi,3,3,,KSh 130 000
 Lavington, Nairobi,3,3,2,KSh 100 000
,,5,6,"Floor Size:

                            500
                        
                        m²",KSh 290 000
 Westlands, Nairobi,3,4,2,KSh 110 000
 Westlands, Nairobi,5,5,,KSh 350 000
,,"Floor Size:

                            150
                        
                        m²",150,"Erf Size:

                            1
                        
                        acres",KSh 170 000
 Westlands, Nairobi,4,4,2,KSh 300 000
Lavington, Nairobi,3,3,,KSh 80 000
Lavington, Nairobi,3,3,,KSh 80 000
Ngong Rd, Nairobi,1,1,,KSh 30 000
Lavington, Nairobi,4,4,,KSh 160 000
 Rosslyn, Nairobi,5,4,,KSh 430 000
 Kilimani, Nairobi,3,3,"Floor Size:

                            200
                        
                        m²",KSh 90 000
,,3,4,"Floor Size:

                            170
                        
                        m²",KSh 150 000
,,3,3,2,KSh 110 000
Lavington, Nairobi,3,4,2,KSh 130 000
,,3,3,"Floor Size:

                            220
                        
                        m²",KSh 150 000
,,4,4,2,KSh 260 000
,,4,4,2,KSh 250 000
,,4,4,2,KSh 150 000
Lavington, Nairobi,4,4,,KSh 200 000
 Nyari, Nairobi,5,6,2,KSh 400 000
 Karen, Nairobi,4,5,"Floor Size:

                            700
                        
                        m²",KSh 300 000
 Karen, Nairobi,2,2,"Erf Size:

                            0.5
                        
                        m²",KSh 150 000
,,4,3,"Floor Size:

                            200
                        
                        m²",KSh 105 000
 Karen, Nairobi,4,5,2,KSh 330 000
 Westlands, Nairobi,1,1,,KSh 40 000
,,4,3,"Floor Size:

                            200
                        
                        m²",KSh 105 000
 Karen, Nairobi,4,5,"Floor Size:

                            1,500
                        
                        m²",KSh 230 000
 Karen, Nairobi,4,5,2,KSh 275 000
,,3,3,2,KSh 190 000
 Karen, Nairobi,4,5,"Floor Size:

                            1,500
                        
                        m²",KSh 160 000
 Kilimani, Nairobi,2,2,2,KSh 70 000
 Ruaka, Nairobi,2,2,"Erf Size:

                            50
                        
                        m²",KSh 28 000
 Karen, Nairobi,5,5,2,KSh 230 000
Ngong Rd, Nairobi,1,1,,KSh 30 000
Thigiri, Nairobi,6,6,4,KSh 500 000
Kitisuru, Nairobi,5,5,2,KSh 400 000
 Kilimani, Nairobi,3,2,,KSh 250 000
 Karen, Nairobi,4,3,"Floor Size:

                            500
                        
                        m²",KSh 170 000
 Runda, Nairobi,4,5,2,KSh 350 000
