Location,City,Bedrooms,Bathrooms,Parking,Price
Peponi, Nairobi,5,5,2,KSh 300 000
Riverside, Nairobi,4,4,2,KSh 450 000
Westlands, Nairobi,2,2,2,KSh 180 000
Riverside, Nairobi,4,4,2,KSh 450 000
Riverside, Nairobi,3,3,2,KSh 350 000
Rosslyn, Nairobi,4,4,2,KSh 330 000
,,4,5,5,KSh 250 000
,,3,2.5,,KSh 210 000
Lavington, Nairobi,2,3,,KSh 65 000
,,3,4,,KSh 200 000
 Kileleshwa, Nairobi,3,3,,KSh 125 000
 Ongata Rongai, Nairobi,4,3,,KSh 50 000
Lavington, Nairobi,5,6,3,KSh 400 000
Karen, Nairobi,4,3,,KSh 280 000
 Kilimani, Nairobi,3,2,2,KSh 70 000
Muthaiga, Nairobi,1,1,1,KSh 150 000
 Kitisuru, Nairobi,6,7,4,KSh 450 000
 Karen, Nairobi,5,,,KSh 350 000
Runda, Nairobi,4,4,2,KSh 400 000
Spring Valley, Nairobi,4,4,2,KSh 250 000
Kilimani, Nairobi,2,3,,KSh 130 000
Riverside, Nairobi,4,4,,KSh 320 000
Riverside, Nairobi,3,3,,KSh 230 000
Westlands, Nairobi,3,3,,KSh 170 000
Westlands, Nairobi,2,2,,KSh 130 000
Westlands, Nairobi,4,4,,KSh 190 000
 Kileleshwa, Nairobi,5,5,8,KSh 340 000
 Kileleshwa, Nairobi,2,2,2,KSh 50 000
Spring Valley, Nairobi,3,2,1,KSh 220 000
,,2,3,2,KSh 150 000
Rosslyn, Nairobi,4,5,4,KSh 380 000
 Nyari, Nairobi,5,5,5,KSh 400 000
,,"Floor Size:

                            44
                        
                        m²",44,"Erf Size:

                            0.5
                        
                        acres",KSh 44 000
 Nyari, Nairobi,5,5,5,KSh 400 000
Westlands, Nairobi,2,2,,KSh 200 000
 Kileleshwa, Nairobi,2,3,,KSh 75 000
,,2,2,,KSh 130 000
,,2,2,,KSh 130 000
 Westlands, Nairobi,5,5,,KSh 250 000
 Kileleshwa, Nairobi,5,4,,KSh 180 000
 Kileleshwa, Nairobi,2,2,2,KSh 70 000
Nyari, Nairobi,2,2,,KSh 150 000
 Kileleshwa, Nairobi,3,3,,KSh 60 000
Kilimani, Nairobi,2,2,2,KSh 75 000
 Kilimani, Nairobi,4,4,3,KSh 80 000
 Kilimani, Nairobi,3,3,,KSh 120 000
