,Bedrooms,Bathrooms,Price,City,Location
381,3,3,80000, Nairobi, Lavington
382,1,1,110000, Nairobi,Kileleshwa
383,4,2,57750, Nairobi, Kahawa Wendani
384,2,3,65000, Nairobi,Kilimani
385,3,3,78000,,
386,4,5,300000, Nairobi,Muthaiga
387,1,1,150000, Mombasa,Nyali
388,4,2,165000, Nairobi,Westlands
389,3,3,55000, Kikuyu, Kikuyu
390,1,1,55000, Mombasa,Shanzu
391,2,2,75000, Nairobi, Westlands
392,2,2,75000,,
393,2,2,55000, Nairobi, Kileleshwa
394,3,3,75000, Nairobi,Kilimani
395,3,2,45000,,
396,2,3,65000, Nairobi, Spring Valley
397,2,2,100000, Nairobi,Westlands
398,3,3,55000, Kikuyu, Kikuyu
399,3,3,200000, Nairobi, Riverside
400,3,4,70000, Nairobi,Kileleshwa
401,3,2,38000, Mombasa, Nyali
402,3,3,80000, Nairobi, Lavington
403,1,1,55000, Mombasa,Shanzu
404,1,1,110000, Nairobi,Kileleshwa
405,4,2,57750, Nairobi, Kahawa Wendani
406,2,3,65000, Nairobi,Kilimani
407,3,3,78000,,
408,4,5,300000, Nairobi,Muthaiga
409,1,1,150000, Mombasa,Nyali
410,4,2,165000, Nairobi,Westlands
411,3,3,55000, Kikuyu, Kikuyu
412,1,1,55000, Mombasa,Shanzu
413,2,2,75000, Nairobi, Westlands
414,2,2,75000,,
415,2,2,55000, Nairobi, Kileleshwa
416,3,3,75000, Nairobi,Kilimani
417,3,2,45000,,
418,2,3,65000, Nairobi, Spring Valley
419,2,2,100000, Nairobi,Westlands
420,3,3,200000, Nairobi, Riverside
421,3,4,70000, Nairobi,Kileleshwa
422,3,2,38000, Mombasa, Nyali
423,3,3,80000, Nairobi, Lavington
424,1,1,110000, Nairobi,Kileleshwa
425,4,2,57750, Nairobi, Kahawa Wendani
426,2,3,65000, Nairobi,Kilimani
427,3,3,78000,,
428,4,5,300000, Nairobi,Muthaiga
429,1,1,150000, Mombasa,Nyali
430,4,2,165000, Nairobi,Westlands
431,3,3,55000, Kikuyu, Kikuyu
432,3,3,55000, Kikuyu, Kikuyu
433,1,1,55000, Mombasa,Shanzu
434,2,2,75000, Nairobi, Westlands
435,2,2,75000,,
436,2,2,55000, Nairobi, Kileleshwa
437,3,3,75000, Nairobi,Kilimani
438,3,2,45000,,
439,2,3,65000, Nairobi, Spring Valley
440,2,2,100000, Nairobi,Westlands
441,3,3,200000, Nairobi, Riverside
442,3,4,70000, Nairobi,Kileleshwa
443,3,2,38000, Mombasa, Nyali
444,3,3,80000, Nairobi, Lavington
445,1,1,110000, Nairobi,Kileleshwa
446,4,2,57750, Nairobi, Kahawa Wendani
447,2,2,100000, Nairobi,Westlands
448,2,3,65000, Nairobi,Kilimani
449,3,3,78000,,
450,4,5,300000, Nairobi,Muthaiga
451,1,1,150000, Mombasa,Nyali
452,4,2,165000, Nairobi,Westlands
453,3,3,55000, Kikuyu, Kikuyu
454,1,1,55000, Mombasa,Shanzu
455,2,2,75000, Nairobi, Westlands
456,2,2,75000,,
457,2,2,55000, Nairobi, Kileleshwa
458,3,3,75000, Nairobi,Kilimani
459,3,2,45000,,
460,2,3,65000, Nairobi, Spring Valley
461,2,2,100000, Nairobi,Westlands
462,3,3,200000, Nairobi, Riverside
463,3,4,70000, Nairobi,Kileleshwa
464,3,2,38000, Mombasa, Nyali
465,3,3,80000, Nairobi, Lavington
466,1,1,110000, Nairobi,Kileleshwa
467,4,2,57750, Nairobi, Kahawa Wendani
468,2,3,65000, Nairobi,Kilimani
469,3,3,78000,,
470,4,5,300000, Nairobi,Muthaiga
471,1,1,150000, Mombasa,Nyali
472,4,2,165000, Nairobi,Westlands
473,2,3,65000, Nairobi, Spring Valley
474,3,3,55000, Kikuyu, Kikuyu
475,1,1,55000, Mombasa,Shanzu
476,2,2,75000, Nairobi, Westlands
477,2,2,75000,,
478,2,2,55000, Nairobi, Kileleshwa
479,3,3,75000, Nairobi,Kilimani
480,3,2,45000,,
481,2,3,65000, Nairobi, Spring Valley
482,2,2,100000, Nairobi,Westlands
483,3,3,200000, Nairobi, Riverside
484,3,4,70000, Nairobi,Kileleshwa
485,3,2,38000, Mombasa, Nyali
486,3,3,80000, Nairobi, Lavington
487,1,1,110000, Nairobi,Kileleshwa
488,4,2,57750, Nairobi, Kahawa Wendani
489,2,3,65000, Nairobi,Kilimani
490,3,3,78000,,
491,3,3,75000, Nairobi,Kilimani
492,4,5,300000, Nairobi,Muthaiga
493,1,1,150000, Mombasa,Nyali
494,4,2,165000, Nairobi,Westlands
495,3,3,55000, Kikuyu, Kikuyu
496,1,1,55000, Mombasa,Shanzu
497,2,2,75000, Nairobi, Westlands
498,2,2,75000,,
499,2,2,55000, Nairobi, Kileleshwa
500,3,3,75000, Nairobi,Kilimani
501,3,2,45000,,
502,2,3,65000, Nairobi, Spring Valley
503,2,2,100000, Nairobi,Westlands
504,3,3,200000, Nairobi, Riverside
505,3,4,70000, Nairobi,Kileleshwa
506,3,2,38000, Mombasa, Nyali
507,3,3,80000, Nairobi, Lavington
508,1,1,110000, Nairobi,Kileleshwa
509,4,2,57750, Nairobi, Kahawa Wendani
510,2,3,65000, Nairobi,Kilimani
511,2,3,65000, Nairobi,Kilimani
512,3,3,78000,,
513,4,5,300000, Nairobi,Muthaiga
514,1,1,150000, Mombasa,Nyali
515,4,2,165000, Nairobi,Westlands
516,3,3,55000, Kikuyu, Kikuyu
517,1,1,55000, Mombasa,Shanzu
518,2,2,75000, Nairobi, Westlands
519,2,2,75000,,
520,2,2,55000, Nairobi, Kileleshwa
521,3,3,75000, Nairobi,Kilimani
522,3,2,45000,,
523,2,3,65000, Nairobi, Spring Valley
524,2,2,100000, Nairobi,Westlands
525,3,3,200000, Nairobi, Riverside
526,3,4,70000, Nairobi,Kileleshwa
527,3,2,38000, Mombasa, Nyali
528,3,3,80000, Nairobi, Lavington
529,1,1,110000, Nairobi,Kileleshwa
530,4,2,57750, Nairobi, Kahawa Wendani
531,2,3,65000, Nairobi,Kilimani
532,3,3,78000,,
533,4,5,300000, Nairobi,Muthaiga
534,1,1,150000, Mombasa,Nyali
535,4,2,165000, Nairobi,Westlands
536,3,3,55000, Kikuyu, Kikuyu
537,1,1,55000, Mombasa,Shanzu
538,2,2,75000, Nairobi, Westlands
539,3,4,70000, Nairobi,Kileleshwa
540,2,2,75000,,
541,2,2,55000, Nairobi, Kileleshwa
542,3,3,75000, Nairobi,Kilimani
543,3,2,45000,,
544,2,3,65000, Nairobi, Spring Valley
545,2,2,100000, Nairobi,Westlands
546,3,3,100000, Nairobi, Kileleshwa
547,3,3,200000, Nairobi, Riverside
548,3,4,70000, Nairobi,Kileleshwa
549,3,2,38000, Mombasa, Nyali
550,1,1,110000, Nairobi,Kileleshwa
551,4,2,57750, Nairobi, Kahawa Wendani
552,2,3,65000, Nairobi,Kilimani
553,3,3,78000,,
554,4,5,300000, Nairobi,Muthaiga
555,1,1,150000, Mombasa,Nyali
556,4,2,165000, Nairobi,Westlands
557,3,3,55000, Kikuyu, Kikuyu
558,4,2,165000, Nairobi,Westlands
559,1,1,55000, Mombasa,Shanzu
560,2,2,75000, Nairobi, Westlands
561,2,2,75000,,
562,2,2,55000, Nairobi, Kileleshwa
563,3,3,75000, Nairobi,Kilimani
564,3,2,45000,,
565,2,3,65000, Nairobi, Spring Valley
566,2,2,100000, Nairobi,Westlands
567,3,3,200000, Nairobi, Riverside
568,3,4,70000, Nairobi,Kileleshwa
569,3,2,38000, Mombasa, Nyali
570,3,3,80000, Nairobi, Lavington
571,1,1,110000, Nairobi,Kileleshwa
572,4,2,57750, Nairobi, Kahawa Wendani
573,2,3,65000, Nairobi,Kilimani
574,3,3,200000, Nairobi, Riverside
575,3,3,78000,,
576,4,5,300000, Nairobi,Muthaiga
577,1,1,150000, Mombasa,Nyali
578,4,2,165000, Nairobi,Westlands
579,3,3,55000, Kikuyu, Kikuyu
580,1,1,55000, Mombasa,Shanzu
581,2,2,75000, Nairobi, Westlands
582,2,2,75000,,
583,2,2,55000, Nairobi, Kileleshwa
584,3,3,75000, Nairobi,Kilimani
585,3,2,45000,,
586,2,3,65000, Nairobi, Spring Valley
587,2,2,100000, Nairobi,Westlands
588,3,3,200000, Nairobi, Riverside
589,3,4,70000, Nairobi,Kileleshwa
590,3,2,38000, Mombasa, Nyali
591,3,3,80000, Nairobi, Lavington
592,1,1,110000, Nairobi,Kileleshwa
593,4,2,57750, Nairobi, Kahawa Wendani
594,2,3,65000, Nairobi,Kilimani
595,3,3,78000,,
596,4,5,300000, Nairobi,Muthaiga
597,1,1,150000, Mombasa,Nyali
598,4,2,165000, Nairobi,Westlands
599,3,3,55000, Kikuyu, Kikuyu
600,1,1,55000, Mombasa,Shanzu
601,3,3,78000,,
602,2,2,75000, Nairobi, Westlands
603,2,2,75000,,
604,2,2,55000, Nairobi, Kileleshwa
605,3,3,75000, Nairobi,Kilimani
606,3,2,45000,,
607,2,3,65000, Nairobi, Spring Valley
608,2,2,100000, Nairobi,Westlands
609,3,3,200000, Nairobi, Riverside
610,3,4,70000, Nairobi,Kileleshwa
611,3,2,38000, Mombasa, Nyali
612,3,3,80000, Nairobi, Lavington
613,1,1,110000, Nairobi,Kileleshwa
614,4,2,57750, Nairobi, Kahawa Wendani
615,2,3,65000, Nairobi,Kilimani
616,3,3,78000,,
617,4,5,300000, Nairobi,Muthaiga
618,1,1,150000, Mombasa,Nyali
619,4,2,165000, Nairobi,Westlands
620,3,3,55000, Kikuyu, Kikuyu
621,1,1,55000, Mombasa,Shanzu
622,2,2,75000, Nairobi, Westlands
623,2,2,75000,,
624,2,2,55000, Nairobi, Kileleshwa
625,3,3,75000, Nairobi,Kilimani
626,3,2,45000,,
627,2,3,65000, Nairobi, Spring Valley
628,2,2,100000, Nairobi,Westlands
629,2,2,75000, Nairobi, Westlands
630,3,3,100000, Nairobi, Kileleshwa
631,3,3,200000, Nairobi, Riverside
632,3,4,70000, Nairobi,Kileleshwa
633,3,2,38000, Mombasa, Nyali
634,1,1,110000, Nairobi,Kileleshwa
635,4,2,57750, Nairobi, Kahawa Wendani
636,2,3,65000, Nairobi,Kilimani
637,3,3,78000,,
638,4,5,300000, Nairobi,Muthaiga
639,1,1,150000, Mombasa,Nyali
640,4,2,165000, Nairobi,Westlands
641,3,3,55000, Kikuyu, Kikuyu
642,1,1,55000, Mombasa,Shanzu
643,2,2,75000, Nairobi, Westlands
644,3,3,200000, Nairobi, Riverside
645,2,2,75000,,
646,2,2,55000, Nairobi, Kileleshwa
647,3,3,75000, Nairobi,Kilimani
648,3,2,45000,,
649,2,3,65000, Nairobi, Spring Valley
650,2,2,100000, Nairobi,Westlands
651,3,3,200000, Nairobi, Riverside
652,3,4,70000, Nairobi,Kileleshwa
653,3,2,38000, Mombasa, Nyali
654,3,3,80000, Nairobi, Lavington
655,1,1,110000, Nairobi,Kileleshwa
656,4,2,57750, Nairobi, Kahawa Wendani
657,2,3,65000, Nairobi,Kilimani
658,3,3,78000,,
659,4,5,300000, Nairobi,Muthaiga
660,1,1,150000, Mombasa,Nyali
661,4,2,165000, Nairobi,Westlands
662,3,3,55000, Kikuyu, Kikuyu
663,1,1,55000, Mombasa,Shanzu
664,3,3,78000,,
665,2,2,75000, Nairobi, Westlands
666,2,2,75000,,
667,2,2,55000, Nairobi, Kileleshwa
668,3,3,75000, Nairobi,Kilimani
669,3,2,45000,,
670,2,3,65000, Nairobi, Spring Valley
671,2,2,100000, Nairobi,Westlands
672,3,3,200000, Nairobi, Riverside
673,3,4,70000, Nairobi,Kileleshwa
674,3,2,38000, Mombasa, Nyali
675,3,3,80000, Nairobi, Lavington
676,1,1,110000, Nairobi,Kileleshwa
677,4,2,57750, Nairobi, Kahawa Wendani
678,2,3,65000, Nairobi,Kilimani
679,3,3,78000,,
680,4,5,300000, Nairobi,Muthaiga
681,1,1,150000, Mombasa,Nyali
682,4,2,165000, Nairobi,Westlands
683,3,3,55000, Kikuyu, Kikuyu
684,1,1,55000, Mombasa,Shanzu
685,2,2,75000, Nairobi, Westlands
686,2,2,75000,,
687,2,2,55000, Nairobi, Kileleshwa
688,3,3,75000, Nairobi,Kilimani
689,3,2,45000,,
690,4,2,165000, Nairobi,Westlands
691,2,3,65000, Nairobi, Spring Valley
692,2,2,100000, Nairobi,Westlands
693,3,3,200000, Nairobi, Riverside
694,3,4,70000, Nairobi,Kileleshwa
695,3,2,38000, Mombasa, Nyali
696,3,3,80000, Nairobi, Lavington
697,1,1,110000, Nairobi,Kileleshwa
