Price,Bedrooms,Bathrooms,City,Location
55000,3,2,Nairobi, Naivasha Road
55000,2,2,Nairobi, Nyali Area
55000,2,2,Nairobi, Kiambu Road
55000,2,1,Nairobi, Ngong Road
55000,2,2,Nairobi,Lavington
55000,1,1,Nairobi, Kilimani
55000,3,2,Nairobi, Dagoretti Corner
55000,2,,Nairobi, Nyali Area
55000,3,3,Nairobi, Kiambu Road
55000,2,2,Nairobi,Loresho
55000,1,1,Nairobi,Kilimani
55000,3,2,Nairobi, Ruaka
55000,2,3,Nairobi,Loresho
55000,1,2,Nairobi,Kilimani
55000,2,2,Nairobi, Kilimani
55000,3,2,Nairobi,Lavington
55000,3,3,Nairobi,Kileleshwa
55000,1,1,Nairobi, Riverside
55000,2,2,Nairobi,Loresho
55000,3,2,Nairobi,Kahawa West
55000,3,2,Nairobi,Mombasa CBD
55000,1,2,Nairobi,Nyali Area
55000,3,,Nairobi,Kahawa West
55000,3,4,Nairobi,Kiambu Road
55000,3,,Nairobi,Kiambu Road
55000,2,2,Nairobi,Mountain View
55000,2,2,Nairobi,Kitisuru
55000,3,4,Nairobi, Nyali Area
55000,2,2,Nairobi,Kilimani
55000,2,2,Nairobi, New Kitusuru
55000,2,2,Nairobi, Karen
55000,2,2,Nairobi, Loresho
55000,3,3,Nairobi,Thindigua
55000,2,2,Nairobi,Lavington
55000,2,2,Nairobi, Kiambu Road
55000,1,1,Nairobi,Kilimani
55000,3,4,Nairobi,Kileleshwa
55000,3,3,Nairobi,Kileleshwa
55000,2,,Nairobi, State House
55000,2,,Nairobi,Kileleshwa
55000,2,2,Nairobi, Mkomani
55000,2,1,Nairobi,Upper Hill
55000,3,3,Nairobi, Kinoo
56000,3,2,Nairobi, Kiambu Road
56000,3,4,Nairobi,Thindigua
57750,4,2,Nairobi, Kahawa
58000,2,,Nairobi, Kileleshwa
58500,3,2,Nairobi, Parklands
59000,2,,Nairobi, Rhapta Road
60000,3,3,Nairobi,Loresho
60000,3,2,Nairobi,Naivasha Road
60000,1,1,Nairobi,Kilimani
60000,1,1,Nairobi, Kilimani
60000,3,2,Nairobi,Jamhuri
60000,2,2,Nairobi,Lavington
60000,2,1,Nairobi, Kilimani
